	for_query	tweet	username	date	hashtags	likes	retweets	url
0	stop racism	@fecundmind @ABCWorldNews all of which are a result of the systematic racism of America. we stop it at the top, we stop almost all of it	chiatlsports	Tue Dec 15 02:02:59 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1338665830322724865
1	stop racism	"white america should have done the following post-civil war:

1. stop being racist
2. stop tolerating racism"	resiakshahid	Sun Dec 13 17:13:36 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1338170216904237058
2	stop racism	@smh And stop being America's running dog. Stop racism within itself. Not preaching water but drinking wine.	PLNo19LFC	Fri Dec 11 11:37:12 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337360782686765056
3	stop racism	@RepBarbaraLee There is no racism in America. Stop spreading lies	emiroseli	Thu Dec 10 22:32:59 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337163430483144705
4	stop racism	After a while you just stop being surprised by America’s blatant racism https://t.co/WnRCEaNnwn	austinbucco	Sun Dec 13 06:49:01 +0000 2020	['BLM']	2	2	https://twitter.com/twitter/statuses/1338013037685424130
5	stop racism	Donald Trump failed to stop COVID-19 before it spun out of control. Americans have to change their behavior now to stop this virus, and we need to address systemic racism and chronic underinvestment in our communities for our country to truly recover. https://t.co/SbWS33kJaq	SenWarren	Sat Dec 12 15:47:59 +0000 2020	['BLM']	3113	428	https://twitter.com/twitter/statuses/1337786283024920579
6	stop racism	stop acting like racism isn’t a problem in america.	ihugmgc	Fri Dec 11 02:04:49 +0000 2020	['BLM']	2	0	https://twitter.com/twitter/statuses/1337216739449442304
7	stop racism	@dekusoftie I love America and all but this racism gotta stop before I loose my mind	Official_Toga7	Tue Dec 15 18:58:22 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1338921359926317056
8	stop racism	I swear there was another person who died in another country under racism but you put America first all the time, why should we stop our lives on them when they don't even care about us, now if enhypen loses its all your fault, go vote and spread info about voting, stop stupidity	KMTAEHYUNG_95	Fri Dec 11 08:40:51 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337316405683904512
9	stop racism	@MSNBC @JoyAnnReid When will white America stop racism the answer is never it’s in there DNA.	culuumo	Fri Dec 11 09:50:17 +0000 2020	['BLM']	3	0	https://twitter.com/twitter/statuses/1337333879129063424
10	stop racism	@IGoTokMaMindNo1 @MKSpurs82 @SkySportsNews Stop begging racism this isn't America mate	darren98_99	Wed Dec 16 11:23:06 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1339169174204149760
11	stop racism	@guypbenson They are trying to erase white history in America.  One step closer to all out white genocide.  Conservatives better stop playing nice and stop pretending anti white racism doesn't exist.	dondero_e	Tue Dec 15 19:51:22 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1338934694394683392
12	stop racism	@Adexnelson @zeemlove Racism is over, Trump is gone...Biden has stop racism in America	HerRoyalNene	Mon Dec 14 13:01:38 +0000 2020	['BLM']	12	0	https://twitter.com/twitter/statuses/1338469197051879425
13	stop racism	The picture says it all. America has to stop state sponsored racism and lynching. https://t.co/F4GSN8ZrAH	A_MarkTwain_Fan	Fri Dec 11 05:23:42 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337266791027011584
14	stop racism	@KLoeffler Blue Georgia is sick of your racism and is working to stop FASCISM from coming to America.	wcf42	Fri Dec 18 01:02:47 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1339737842700996609
15	stop racism	@ja_wright13 @CNN Racism the original Pandemic in America, and we have yet to create a vaccine to stop its spread.	jamesTNDO	Thu Dec 10 16:04:43 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1337065720522436608
16	stop racism	@WhiteCreasy Apparently wanting racism and antisemitism to stop in America is a bad thing. Understood 👍	Amindamean	Thu Dec 10 20:47:49 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337136965251108866
17	stop racism	@SawyerHackett But they say it is about politics and not race? disgraceful, this is racism in America, people need to stop denying it	mrsamandagerdes	Sun Dec 13 03:53:41 +0000 2020	['BLM']	3	0	https://twitter.com/twitter/statuses/1337968910470180864
18	stop racism	@jemelehill clearing this WHITE bowler fucks up on purpose bc of his BLACK ball. Racism in America never stops https://t.co/jhXMzYBzUo	poodledick3	Wed Dec 09 18:42:36 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1336743062438113280
